Year,Gender,Place,Team,Finish Time
2007,M,15,Acacia,02:27.44
2007,M,16,Cinzano,02:27.81
2007,M,17,Evans Scholars,02:28.80
2007,M,18,Achtung,02:29.06
2007,M,19,Sigma Phi Epsilon,02:29.13
2007,M,20,Kappa Sigma,02:29.25
2007,M,21,Phi Kappa Sigma,02:29.79
2007,M,22,Delta Upsilon,02:30.61
2007,M,23,Sigma Nu,02:30.81
2007,M,24,Phi Sigma Kappa,02:31.19
2007,M,25,Wright Cycling,02:31.99
2007,M,26,Sigma Chi,02:32.71
2007,M,27,Team SOFA,02:34.35
2007,M,28,IU Mens Rugby,02:34.89
2007,M,29,ACC,02:35.36
2007,M,30,Sigma Pi,02:35.37
2007,M,31,Chi Phi,02:36.21
2007,M,32,Lambda Chi Alpha,02:37.02
2007,M,33,Pi Kappa Phi,02:37.08
2007,F,1,Teter,02:38:19
2007,F,2,Kappa Delta,02:39.65
2007,F,3,Cycledelics,02:39.73
2007,F,4,Kappa Alpha Theta,02:40.92
2007,F,5,Alpha Gamma Delta,02:41.50
2007,F,6,Delta Gamma,02:42.95
2007,F,7,Delta Sigma Pi,02:44.92
2007,F,8,Athena,02:45.90
2007,F,9,Alpha Phi,02:46.32
2007,F,10,Alpha Omicron Pi,02:46.96
2007,F,11,Gamma Phi Beta,02:47.53
2007,F,12,Kappa Kappa Gamma,02:48.09
2007,F,13,Army Women,02:48.46
2007,F,14,Alpha Chi Omega,02:49.85
2007,F,15,Team Gluff,02:50.39
2007,F,16,Chi Omega,02:51.69
2007,F,17,Wing It,02:51.75
2007,F,18,Zeta Tau Alpha,02:51.85
2007,F,19,Delta Zeta,02:52.29
2007,F,20,High Ride,02:52.51
2007,F,21,Bella Veloce,02:52.59
2007,F,22,Alpha Xi Delta,02:53.42
2007,F,23,Alpha Delta Pi,02:56.50
2007,F,24,Phi Mu,02:56.53
2007,F,25,ACC Women,02:59.91
2007,F,26,Team Revolution,03:01.69
2007,F,27,Collins (W),03:04.47
2007,F,28,Pi Beta Phi,03:06.15
2007,F,29,Delta Delta Delta,03:09.43
2007,F,30,Sigma Delta Tau,03:12.38
2007,F,31,Alpha Epsilon Phi,03:20.68
2006,M,1,Cutters,02:23.24
2006,M,2,Phi Kappa Psi,02:24.63
2006,M,3,Dodds House,02:25.86
2006,M,4,Beta Theta Pi,02:27.52
2006,M,5,Sigma Alpha Mu,02:28.95
2006,M,6,Phi Gamma Delta,02:28.35
2006,M,7,Alpha Tau Omega,02:28.44
2006,M,8,Li Si Hi,02:28.49
2006,M,9,Parrot Head Cycling,02:28.70
2006,M,10,Delta Upsilon,02:29.24
2006,M,11,Sigma Pi,02:29.37
2006,M,12,Lambda Chi Alpha,02:29.51
2006,M,13,Forest,02:30.05
2006,M,14,Pi Kappa Alpha,02:30.55
2006,M,15,Major Taylor United,02:31.17
2006,M,16,Briscoe,02:32.49
2006,M,17,Acacia,02:32.50
2006,M,18,Alpha Epsilon Pi,02:32.55
2006,M,19,Collins,02:35.23
2006,M,20,Phi Kappa Sigma,02:35.41
2006,M,21,Evans  Scholars,02:35.99
2006,M,22,Black Key Bulls,02:36.20
2006,M,23,Pi Kappa Phi,02:36.37
2006,M,24,Theta Chi,02:36.70
2006,M,25,Delta Sigma Pi,02:37.35
2006,M,26,Sigma Chi,02:37.77
2006,M,27,Rainbow  Cycling,02:38.02
2006,M,28,Achtung,02:38.52
2006,M,29,Wright Cycling,02:38.59
2006,M,30,Ashton/Teter,02:38.67
2006,M,31,Cinzano,02:38.81
2006,M,32,Chi Phi,02:40.00
2006,M,33,Delta Tau Delta,02:40.47
2006,F,1,Kappa Delta,02:45.77
2006,F,2,Alpha Phi,02:45.95
2006,F,3,Army Women,02:48.09
2006,F,4,Kappa Kappa Gamma,02:48.70
2006,F,5,Alpha Gamma Delta,02:49.88
2006,F,6,Road Runners,02:50.45
2006,F,7,Athena,02:50.69
2006,F,8,Alpha Chi Omega,02:51.08
2006,F,9,Cycledelics,02:52.21
2006,F,10,Delta Gamma,02:52.55
2006,F,11,Kappa Alpha Theta,02:52.67
2006,F,12,Teter,02:52.98
2006,F,13,Bella Veloce,02:54.00
2006,F,14,Alpha Omicron Pi,02:54.81
2006,F,15,Team Revolution,02:56.00
2006,F,16,Zeta Tau Alpha,02:56.48
2006,F,17,Wing It,02:58.19
2006,F,18,Delta Zeta,02:59.09
2006,F,19,Team Stellar,03:00.40
2006,F,20,High Ride,03:00.80
2006,F,21,Mezcla,03:02.97
2006,F,22,Delta Sigma Pi (W),03:05.73
2006,F,23,Chi Omega,03:06.97
2006,F,24,Phi Mu,03:07.34
2006,F,25,Alpha Kappa Psi,03:08.77
2006,F,26,Vitalita,03:09.61
2006,F,27,Briscoe,03:11.45
2006,F,28,Delta Delta Delta,03:13.99
2006,F,29,Alpha Delta Pi,03:18.37
2006,F,30,Alpha Zeta Nu,03:30.41
2006,F,31,Alpha Xi Delta,03:22.79
2006,F,32,Sigma Delta Tau,04:05.59
2006,F,33,Pi Beta Phi ****,
2005,M,1,Phi Kappa Psi,02:17.82
2005,M,2,Briscoe,02:18.11
2005,M,3,Cutters,02:18.80
2005,M,4,Alpha Tau Omega,02:19.35
2005,M,5,Phi Gamma Delta,02:19.44
2005,M,6,Dodds House,02:21.04
2005,M,7,Sigma Nu,02:21.28
2005,M,8,Sigma Pi,02:21.57
2005,M,9,Delta Upsilon,02:21.84
2005,M,10,Delta Sigma Pi,02:23.90
2005,M,11,Collins,02:24.84
2005,M,12,LiSiHi,02:24.89
2005,M,13,Acacia,02:25.66
2005,M,14,Cinzano,02:26.55
2005,M,15,Wright Cycling,02:27.47
2005,M,16,Forest,02:28.04
2005,M,17,Achtung,02:28.05
2005,M,18,Parrothead,02:28.44
2005,M,19,Phi Sigma Kappa,02:28.66
2005,M,20,Pi Kappa Phi,02:28.87
2005,M,21,Alpha Epsilon Pi,02:29.23
2005,M,22,Team Major Taylor,02:30.19
2005,M,23,Sigma Alpha Mu,02:30.70
2005,M,24,Phi Kappa Sigma,02:30.63
2005,M,25,Lambda Chi Alpha,02:30.72
2005,M,26,Pi Kappa Alpha,02:31.21
2005,M,27,Zeta Beta Tau,02:31.22
2005,M,28,Delta Kappa epsilon,02:33.89
2005,M,29,Beta Theta Pi,02:34.15
2005,M,30,Sigma Chi,02:34.47
2005,M,31,Delta Tau Delta,02:34.87
2005,M,32,Evans Scholars,02:35.15
2005,M,33,Mezcla,02:35.70
2005,F,1,Kappa Kappa Gamma,02:36.14
2005,F,2,Delta Gamma,02:38.98
2005,F,3,Alpha Chi Omega,02:39.82
2005,F,4,Alpha Phi,02:40.51
2005,F,5,Kappa Alpha Theta,02:42.04
2005,F,6,Teter,02:42.28
2005,F,7,Cyledelics,02:43.41
2005,F,8,Bella Veloce,02:44.29
2005,F,9,Athena,02:44.38
2005,F,10,Alpha Gamma Delta,02:45.82
2005,F,11,Roadrunners,02:45.98
2005,F,12,Kappa Delta,02:46.12
2005,F,13,Alpha Omicron Pi,02:46.44
2005,F,14,Alpha Xi Delta,02:46.66
2005,F,15,Delta Zeta,02:47.07
2005,F,16,Team Marshal,02:48.65
2005,F,17,Alpha Kappa Psi,02:49.58
2005,F,18,Gamma Phi Beta,02:49.88
2005,F,19,Army,02:50.82
2005,F,20,Team Steller,02:51.17
2005,F,21,Speed,02:51.37
2005,F,22,Phi Mu,02:52.48
2005,F,23,Collins,02:55.33
2005,F,24,Mezcla,02:56.87
2005,F,25,Chi Omega,02:57.41
2005,F,26,Zeta Tau Alpha,03:00.74
2005,F,27,Delta Sigma Pi,03:01.10
2005,F,28,Pi Beta Phi,03:02.06
2005,F,29,Alpha Delta Pi,03:03.12
2005,F,30,Alpha Phi Omega,03:07.94
2005,F,31,Sigma Delta Tau,03:10.08
2005,F,32,Delta Delta Delta,03:11.01
2004,M,1,Team Major Taylor,02:23.30
2004,M,2,Sigma Nu,02:23.50
2004,M,3,ACR Cycling,02:24.02
2004,M,4,Alpha Tau Omega,02:24.63
2004,M,5,Briscoe,02:24.84
2004,M,6,Phi Gamma Delta,02:25.29
2004,M,7,Phi Kappa Psi,02:25.69
2004,M,8,Delta Upsilon,02:25.88
2004,M,9,Acacia,02:26.44
2004,M,10,Cutters,02:27.00
2004,M,11,Sigma Chi,02:27.20
2004,M,12,Kimball,02:27.90
2004,M,13,Dodds House,02:28.48
2004,M,14,Sincere Cycling,02:28.60
2004,M,15,Phi Delta Theta,02:28.67
2004,M,16,Achtung,02:29.06
2004,M,17,Zeta Beta Tau,02:29.30
2004,M,18,Army,02:31.06
2004,M,19,Delta Sigma Pi (M),02:31.30
2004,M,20,Forest,02:31.34
2004,M,21,Chi Phi,02:31.69
2004,M,22,Delta Tau Delta,02:32.15
2004,M,23,Sigma Pi,02:32.15
2004,M,24,Collins,02:32.21
2004,M,25,Willkie Cycling,02:33.80
2004,M,26,Phi Kappa Sigma,02:36.01
2004,M,27,IU Soccer,02:36.04
2004,M,28,Wright Cycling,02:36.31
2004,M,29,Evans  Scholars,02:38.13
2004,M,30,Lambda Chi Alpha,02:39.92
2004,M,31,Teter,02:40.56
2004,M,32,Sigma Alpha Mu,02:41.47
2004,M,33,Foster International,02:41.79
2004,F,1,Kappa Kappa Gamma,02:37.5
2004,F,2,Alpha Gamma Delta,02:38.3
2004,F,3,Kappa Alpha Theta,02:42.9
2004,F,4,Teter Women,02:43.7
2004,F,5,Delta Zeta,02:45.4
2004,F,6,Roadrunners,02:46.1
2004,F,7,Speed,02:47.3
2004,F,8,Athena,02:48.2
2004,F,9,Phi Mu,02:48.5
2004,F,10,Alpha Chi Omega,02:48.8
2004,F,11,Alpha Phi,02:48.9
2004,F,12,Army ROTC (W),02:49.7
2004,F,13,Gamma Phi Beta,02:49.8
2004,F,14,Delta Gamma,02:49.8
2004,F,15,Bella Veloce,02:50.7
2004,F,16,Alpha Omicron Pi,02:51.2
2004,F,17,Cycledelics,02:53.6
2004,F,18,Kappa Delta,02:55.0
2004,F,19,Alpha Xi Delta,02:55.7
2004,F,20,Mezcla,02:57.1
2004,F,21,Collins Women,02:57.3
2004,F,22,Delta Delta Delta,02:57.8
2004,F,23,Chi Omega,02:57.9
2004,F,24,Alpha Kappa Psi,02:58.1
2004,F,25,Pi Beta Phi,03:03.0
2004,F,26,Alpha Phi Omega,03:05.0
2004,F,27,Alpha Delta Pi,03:05.7
2004,F,28,Zeta Tau Alpha,03:06.6
2004,F,29,Delta Sigma Pi (W),03:07.0
2004,F,30,McNutt Cycling,03:07.1
2004,F,31,Alpha Chi Sigma,03:14.7
2003,M,1,Phi Gamma Delta,02:23.19
2003,M,2,Team Major Taylor,02:26.39
2003,M,3,Corleones,02:27.65
2003,M,4,Gafombi,02:28.05
2003,M,5,ACR Cycling,02:28.24
2003,M,6,Dodds House,02:28.55
2003,M,7,Cinzano,02:29.89
2003,M,8,Phi Delta Theta,02:29.94
2003,M,9,Pi Kappa Phi,02:29.96
2003,M,10,Sigma Nu,02:30.27
2003,M,11,Acacia,02:30.44
2003,M,12,Kimball,02:32.84
2003,M,13,Collins,02:33.97
2003,M,14,Alpha Tau Omega,02:56.89
2003,M,15,Fratello,02:34.68
2003,M,16,Briscoe,02:35.18
2003,M,17,Delta Upsilon,02:35.19
2003,M,18,Willkie,02:35.93
2003,M,19,Lambda Chi Alpha,02:37.08
2003,M,20,Achtung,02:37.49
2003,M,21,Delta Sigma Pi,02:38.05
2003,M,22,Sigma Pi,02:38.66
2003,M,23,Forest,02:38.78
2003,M,24,Cutters,02:39.00
2003,M,25,Sigma Chi,02:39.37
2003,M,26,Alpha Epsilon Pi,02:40.78
2003,M,27,Alpha Sigma Phi,02:41.38
2003,M,28,Kappa Sigma,02:42.15
2003,M,29,Teter,02:42.46
2003,M,30,Army,02:43.78
2003,M,31,Alta,02:44.88
2003,M,32,Chi Phi,02:46.16
2003,M,33,Phi Kappa Psi,02:46.70
2003,F,1,Phi Mu,02:46.071
2003,F,2,Alpha Chi Omega,02:46.892
2003,F,3,Kappa Kappa Gamma,02:47.153
2003,F,4,Delta Zeta,02:48.125
2003,F,5,Athena,02:49.778
2003,F,6,Kappa Alpha Theta,02:49.868
2003,F,7,Speed,02:50.803
2003,F,8,Kappa Delta,02:52.468
2003,F,9,Alpha Gamma Delta,02:53.591
2003,F,10,Teter,02:54.606
2003,F,11,Roadrunners,02:55.479
2003,F,12,Delta Delta Delta,02:55.996
2003,F,13,Alpha Phi,02:56.064
2003,F,14,Alpha Xi Delta,02:56.887
2003,F,15,Alpha Delta Pi,03:00.576
2003,F,16,Cycledelics,03:00.603
2003,F,17,Sigma Delta Tau,03:00.909
2003,F,18,Gamma Phi Beta,03:02.303
2003,F,19,Chi Omega,03:03.430
2003,F,20,Army ROTC,03:03.718
2003,F,21,Pi Beta Phi,03:05.260
2003,F,22,Hatrix,03:06.263
2003,F,23,Delta Gamma,03:07.252
2003,F,24,Alpha Omicron Pi,03:08.759
2003,F,25,Zeta Tau Alpha,03:09.125
2003,F,26,Read T-Dubs,03:15.447
2003,F,27,Delta Sigma Pi,03:17.930
2003,F,28,Alpha Phi Omega,03:18.034
2003,F,29,Forest Fire,03:20.436
2003,F,30,Alpha Chi Sigma,03:52.810
2003,F,31,Alpha Epsilon Phi,03:58.692
2002,M,1,Phi Delta Theta,02:23.90
2002,M,2,Phi Gamma Delta,02:29.96
2002,M,3,Team Major Taylor,02:31.55
2002,M,4,Corleones,02:33.23
2002,M,5,Teter,02:34.42
2002,M,6,Achtung,02:34.84
2002,M,7,Dodds House,02:35.09
2002,M,8,Sigma Phi Epsilon,02:35.20
2002,M,9,Gafombi,02:35.61
2002,M,10,Pi Kappa Phi,02:35.96
2002,M,11,Kappa Sigma,02:36.68
2002,M,12,Fratello,02:36.90
2002,M,13,Sigma Pi,02:37.25
2002,M,14,Acacia,02:38.12
2002,M,15,Cutters,02:38.51
2002,M,16,Alta,02:41.29
2002,M,17,Godspeed,02:41.48
2002,M,18,Sigma Nu,02:42.35
2002,M,19,Briscoe,02:44.11
2002,M,20,Cinzano,02:44.22
2002,M,21,Chi Phi,02:44.65
2002,M,22,Phi Kappa Psi,02:45.24
2002,M,23,Alpha Tau Omega,02:45.33
2002,M,24,Army,02:46.64
2002,M,25,Si Senor,02:46.69
2002,M,26,Forest,02:47.28
2002,M,27,Alpha Phi Omega,02:47.37
2002,M,28,Delta Chi,02:47.47
2002,M,29,Delta Sigma Pi,02:47.94
2002,M,30,Willkie,02:49.11
2002,M,31,Delta Upsilon,02:49.67
2002,M,32,Phi Sigma Kappa,02:49.96
2002,M,33,Lambda Chi Alpha,02:50.01
2002,F,1,Kappa Kappa Gamma,02:48.644
2002,F,2,Kappa Alpha Theta,02:50.562
2002,F,3,Con Fuoco,02:51.391
2002,F,4,Phi Mu,02:52.938
2002,F,5,Alpha Phi Omega (W),02:53.961
2002,F,6,Single Speed Sprinters,02:55.013
2002,F,7,Zeta Tau Alpha,02:56.03
2002,F,8,Roadrunners,02:57.295
2002,F,9,Delta Gamma,02:57.44
2002,F,10,Alpha Gamma Delta,02:57.444
2002,F,11,Landsharks,02:59.414
2002,F,12,Alpha Chi Omega,03:00.54
2002,F,13,Hatrix,03:00.873
2002,F,14,Athena,03:01.014
2002,F,15,Pi Beta Phi,03:03.143
2002,F,16,Kappa Delta,03:04.453
2002,F,17,Forest Fire,03:05.583
2002,F,18,Chi Omega,03:06.736
2002,F,19,Alpha Phi,03:07.417
2002,F,20,Alpha Xi Delta,03:08.227
2002,F,21,Gamma Phi Beta,03:10.093
2002,F,22,Alpha Delta Pi,03:11.635
2002,F,23,Delta Delta Delta,03:15.868
2002,F,24,Teter Women,03:19.458
2002,F,25,Sigma Delta Tau,03:20.83
2002,F,26,Army ROTC,03:21.972
2002,F,27,Delta Sigma Pi (W),03:26.502
2002,F,28,Alpha Omicron Pi,03:27.374
2002,F,29,Alpha Epsilon Phi,03:35.833
2002,F,30,Delta Zeta ****,03:08.791
2001,M,1,FIJI,02:30.00
2001,M,2,Delta Chi,02:33.35
2001,M,3,Sigma Phi Epsilon,02:33.50
2001,M,4,Phi Delta Theta,02:34.09
2001,M,5,Alpha Tau Omega,02:34.68
2001,M,6,Briscoe,02:37.10
2001,M,7,Chi Phi,02:37.40
2001,M,8,Cinzano,02:37.85
2001,M,9,Dodds House,02:38.30
2001,M,10,Teter (M),02:38.60
2001,M,11,Galveston,02:39.16
2001,M,12,Beta Theta Pi,02:39.76
2001,M,13,Delta Tau Delta,02:40.57
2001,M,14,Sigma Nu,02:42.40
2001,M,15,Kappa Sigma,02:43.25
2001,M,16,Lambda Chi Alpha,02:43.90
2001,M,17,Achtung,02:44.28
2001,M,18,Sigma Alpha Epsilon,02:44.70
2001,M,19,Sigma Chi,02:44.90
2001,M,20,Alpha Sigma Phi,02:46.31
2001,M,21,Pi Kappa Alpha,02:47.75
2001,M,22,Acacia,02:48.44
2001,M,23,Phi Kappa Psi,02:48.70
2001,M,24,Mezcla,02:49.10
2001,M,25,Cutters,02:49.45
2001,M,26,Pi Kappa Phi,02:50.25
2001,M,27,Forest (M),02:50.41
2001,M,28,Sigma Pi,02:50.55
2001,M,29,Foster,02:52.10
2001,M,30,Evans,02:53.05
2001,M,31,Delta Upsilon,02:54.75
2001,M,32,Alpha Epsilon Pi,02:55.30
2001,M,33,Delta Sigma Pi (M),02:56.41
2001,F,1,Roadrunners,02:52.75
2001,F,2,Delta Zeta,02:56.94
2001,F,3,Phi Mu,02:57.37
2001,F,4,Delta Gamma,02:57.83
2001,F,5,Kappa Kappa Gamma,02:59.03
2001,F,6,Chi Omega,02:59.55
2001,F,7,Kappa Delta,02:59.87
2001,F,8,Kappa Alpha Theta,03:01.56
2001,F,9,Single Speed Sprinters,03:02.30
2001,F,10,Gamma Phi Beta,03:02.62
2001,F,11,Alpha Delta Pi,03:03.25
2001,F,12,Alpha Omnicron Pi,03:04.75
2001,F,13,Alpha Gamma Delta,03:04.52
2001,F,14,Con Fuoco,03:05.25
2001,F,15,Alpha Phi,03:06.00
2001,F,16,Alpha Chi Omega,03:06.85
2001,F,17,Athena,03:09.21
2001,F,18,Alpha Phi Omega,03:09.83
2001,F,19,Alpha Xi Delta,03:14.65
2001,F,20,Forest (W),03:15.76
2001,F,21,Cycledelics,03:16.15
2001,F,22,Pi Beta Phi,03:16.20
2001,F,23,Zeta Tau Alpha,03:17.15
2001,F,24,Tri-Delts,03:17.42
2001,F,25,Delta Sigma Pi (W),03:21.40
2001,F,26,Ashton,03:22.80
2001,F,27,Army ROTC (W),03:25.30
2001,F,28,Teter (W),03:45.00
2001,F,29,Alpha Epsilon Phi,03:58.15
2001,F,30,Sigma Delta Tau,04:57.50
2000,M,1,Delta Chi,02:22.41
2000,M,2,Dodds House,02:23.83
2000,M,3,Cutters,02:24.10
2000,M,4,Sigma Phi Epsilon,02:24.29
2000,M,5,Phi Delta Theta,02:24.82
2000,M,6,Sigma Alpha Epsilon,02:24.84
2000,M,7,Delta Tau Delta,02:25.00
2000,M,8,Phi Gamma Delta,02:25.13
2000,M,9,Chi Phi,02:25.51
2000,M,10,Sigma Nu,02:26.77
2000,M,11,Pi Kappa Phi,02:26.84
2000,M,12,Alpha Tau Omega,02:26.86
2000,M,13,Lambda Chi Alpha,02:29.61
2000,M,14,Beta Theta Pi,02:29.89
2000,M,15,Acacia,02:30.42
2000,M,16,Sigma Chi,02:30.72
2000,M,17,Delta Upsilon,02:30.76
2000,M,18,Theta Chi,02:31.35
2000,M,19,Fratello,02:31.41
2000,M,20,Teter,02:31.46
2000,M,21,Alpha Epsilon  Pi,02:31.95
2000,M,22,Region  Crew,02:32.57
2000,M,23,Cinzano,02:32.97
2000,M,24,Ashton,02:34.29
2000,M,25,Alta,02:34.83
2000,M,26,Phi Kappa Psi,02:35.03
2000,M,27,Kappa Sigma,02:36.23
2000,M,28,Evans Scholars,02:36.31
2000,M,29,Delta Sigma Pi,02:42.17
2000,M,30,Ziegler  (Collins),02:42.41
2000,M,31,Sigma Pi,02:43.51
2000,M,32,Zeta Beta Tau,02:46.93
2000,M,33,Sigma Alpha Mu,02:52.44
2000,F,1,Delta Zeta,02:42.22
2000,F,2,Roadrunners,02:44.01
2000,F,3,Alpha Delta Pi,02:44.88
2000,F,4,Chi Omega,02:50.06
2000,F,5,Delta Delta Delta,02:50.55
2000,F,6,Gamma Phi Beta,02:50.69
2000,F,7,Cycledelics,02:50.99
2000,F,8,Phi Mu,02:51.5
2000,F,9,Con Fuoco,02:52.16
2000,F,10,Kappa Kappa Gamma,02:52.51
2000,F,11,Kappa Alpha Theta,02:52.68
2000,F,12,Landsharks,02:52.74
2000,F,13,Kappa Delta,02:53.37
2000,F,14,Alpha Chi Omega,02:54.16
2000,F,15,Delta Gamma,02:54.45
2000,F,16,Teter,02:55.79
2000,F,17,Alpha Gamma Delta,02:59.67
2000,F,18,Alpha Phi,03:00.63
2000,F,19,GDI's,03:00.95
2000,F,20,Zeta Tau Alpha,03:03.45
2000,F,21,Delta  Sigma Pi,03:08.44
2000,F,22,Alpha Omicron Pi,03:10.16
2000,F,23,Double Trouble,03:11.61
2000,F,24,Sigma Delta Tau,03:12.65
2000,F,25,4ce,03:14.8
2000,F,26,Alpha Phi Omega,03:17.78
2000,F,27,Pi Beta Phi (4th run),03:00.27
2000,F,28,Team Athena (4th run),03:11.75
1999,M,1,Phi Delta Theta,02:28.695
1999,M,2,Sigma Phi Epsilon,02:28.816
1999,M,3,Phi Gamma Delta,02:29.130
1999,M,4,Phi Kappa Psi,02:29.130
1999,M,5,Dotson,02:30.495
1999,M,6,Pi Kapa Phi,02:30.881
1999,M,7,Sigma Nu,02:31.027
1999,M,8,Dodds House,02:31.432
1999,M,9,Chi Phi,02:31.825
1999,M,10,Fratello,02:32.006
1999,M,11,Alpha Chi Sigma,02:32.240
1999,M,12,Delta Chi,02:32.286
1999,M,13,Cutters,02:32.432
1999,M,14,Lambda Chi Alpha,02:32.3437
1999,M,15,Theta Chi,02:32.545
1999,M,16,Collins Cycling,02:32.773
1999,M,17,Delta Tau Delta,02:32.809
1999,M,18,Acacia,02:32.889
1999,M,19,Sigma Alpha Epsilon,02:33.520
1999,M,20,Beta Theta Pi,02:34.491
1999,M,21,Sigma Chi,02:35.017
1999,M,22,Alta,02:36.031
1999,M,23,Delta Upsilon,02:36.264
1999,M,24,Alpha Tau Omega,02:37.765
1999,M,25,Hickory,02:38.889
1999,M,26,Delta Sigma Pi,02:39.320
1999,M,27,Kappa Sigma,02:39.404
1999,M,28,Wright Cycling,02:39.625
1999,M,29,Cinzano,02:40.838
1999,M,30,Teter,02:40.995
1999,M,31,Evans Scholars,02:41.903
1999,M,32,Alpha Phi Omega,02:42.576
1999,M,33,Alpha Sigma Phi,02:44.520
1999,F,1,Chi Omega,02:47.518
1999,F,2,Delta Zeta,02:49.351
1999,F,3,Kappa Alpha Theta,02:50.399
1999,F,4,Wright Cycledelics,02:54.159
1999,F,5,Phi Mu,02:54.605
1999,F,6,Kappa Kappa Gamma,02:54.900
1999,F,7,Alpha Delta Pi,02:55.191
1999,F,8,Pi Beta Phi,02:55.628
1999,F,9,Alpha Chi Omega,02:56.316
1999,F,10,Alpha Gamma Delta,02:58.200
1999,F,11,Delta Gamma,02:58.263
1999,F,12,Roadrunners,02:58.361
1999,F,13,ConFuoco,02:58.512
1999,F,14,Oz,02:58.514
1999,F,15,Alpha Phi,02:58.854
1999,F,16,Briscoe Breeze,02:59.870
1999,F,17,Alpha Chi Delta,03:01.183
1999,F,18,Team Athena,03:01.471
1999,F,19,Forest,03:02.432
1999,F,20,Team College Life,03:05.128
1999,F,21,Gamma Phi Beta,03:05.498
1999,F,22,Zeta Tau Alpha,03:06.180
1999,F,23,Alpha Phi Omega,03:07.862
1999,F,24,Foster 4ce,03:11.485
1999,F,25,Delta Sigma Pi,03:12.868
1999,F,26,Teter Cycling,03:14.195
1999,F,27,Vayu,03:14.999
1999,F,28,Super Teter,03:18.910
1999,F,29,Landsharks,03:24.309
1999,F,30,Kappa Delta,03:28.514
1999,F,31,Delta Delta Delta,03:03.099
1999,F,32,McNutt Cycling,03:07.429
1998,M,1,Dodds House,02:21.156
1998,M,2,Sogma Alpha Epsilon,02:22.287
1998,M,3,Pi Kappa Alpha,02:23.214
1998,M,4,Pi Kappa Phi,02:25.448
1998,M,5,Chi Phi,02:25.971
1998,M,6,Sigma Phi Epsilon,02:26.651
1998,M,7,Phi Kappa Psi,02:26.800
1998,M,8,Cutters,02:27.434
1998,M,9,Phi Gamma Delta,02:27.630
1998,M,10,Acacia,02:29.875
1998,M,11,Beta Theta Pi,02:30.100
1998,M,12,Theta Chi,02:30.214
1998,M,13,Lambda Chi Alpha,02:30.240
1998,M,14,Delta Chi,02:30.314
1998,M,15,Delta Tau Delta,02:30.507
1998,M,16,Sigma Nu,02:31.119
1998,M,17,Alpha Sigma Phi,02:31.227
1998,M,18,Alta,02:32.140
1998,M,19,Collins Buccaneers,02:32.548
1998,M,20,Mezcla,02:33.992
1998,M,21,Sigma Chi,02:35.066
1998,M,22,Alpha Tau Omega,02:35.402
1998,M,23,Sigma Pi,02:36.671
1998,M,24,Alpha Epsilon Pi,02:37.253
1998,M,25,Region Crew,02:37.436
1998,M,26,Cinzano,02:38.900
1998,M,27,Delta Sigma Pi,02:39.179
1998,M,28,Teter,02:39.593
1998,M,29,Delta Upsilon,02:39.792
1998,M,30,Phi Sigma Kappa,02:40.825
1998,M,31,Forest,02:42.682
1998,M,32,Wright Cycling,02:43.152
1998,M,33,Sigma Alpha Mu,03:03.665
1998,F,1,Kappa Kappa Gamma,02:40.724
1998,F,2,Kappa Alpha Theta,02:43.534
1998,F,3,Alpha Chi Omega,02:43.948
1998,F,4,Roadrunners,02:44.422
1998,F,5,Phi Mu,02:45.609
1998,F,6,Chi Omega,02:45.721
1998,F,7,Pi Beta Phi,02:49.373
1998,F,8,Alpha Delta Pi,02:50.860
1998,F,9,Delta Delta Delta,02:53.199
1998,F,10,Alpha Xi Delta,02:53.408
1998,F,11,Vayu,02:53.555
1998,F,12,Delta Gamma,02:53.558
1998,F,13,Landsharks,02:53.632
1998,F,14,Zeta Tau Alpha,02:54.785
1998,F,15,Wright Cycledelics,02:55.137
1998,F,16,Perigee,02:56.652
1998,F,17,Alpha Kappa Psi,02:57.063
1998,F,18,College Life,02:58.273
1998,F,19,Oz,02:58.538
1998,F,20,Backdraft,03:00.042
1998,F,21,Alpha Phi,03:01.494
1998,F,22,Alpha Phi Omega,03:04.189
1998,F,23,Delta Sigma Pi,03:05.250
1998,F,24,Team Elite,03:05.667
1998,F,25,Alpha Chi Sigma,03:10.971
1998,F,26,Teter,03:12.048
1998,F,27,Army ROTC,03:13.612
1998,F,28,Sigma Delta Tau,03:15.871
1998,F,29,Delta Zeta,02:59.493
1998,F,30,Briscoe,03:11.450
1998,F,31,Foster 4ce,03:23.515
1998,F,32,Alpha Gamma Delta,05:42.628
1997,M,1,Sigma Alpha Epsilon,02:15.578
1997,M,2,Phi Kappa Psi,02:19.533
1997,M,3,Sigma Nu,02:20.631
1997,M,4,Phi Delta Theta,02:22.254
1997,M,5,Dodds House,02:23.298
1997,M,6,Sigma Phi Epsilon,02:23.655
1997,M,7,Phi Gamma Delta,02:23.919
1997,M,8,Sigma Chi,02:24.306
1997,M,9,Beta Theta Pi,02:24.536
1997,M,10,Delta Chi,02:26.424
1997,M,11,Delta Upsilon,02:26.451
1997,M,12,Acacia,02:27.942
1997,M,13,Delta Tau Delta,02:28.868
1997,M,14,Pi Kappa Alpha,02:29.856
1997,M,15,Theta Chi,02:29.876
1997,M,16,South Cottage Grove,02:30.586
1997,M,17,Pi Kappa Phi,02:30.608
1997,M,18,Pneuma,02:30.963
1997,M,19,Cutters,02:31.718
