Year,Gender,Place,Team,Finish Time,Finals Time
2000,F,4,Alpha Delta Pi,09:26.34,
2000,F,5,GDI's,09:35.66,
2000,F,6,Alpha Gamma Delta,09:37.23,
2000,F,7,Landsharks,09:47.05,
2000,F,8,Kappa Delta,09:47.97,
2000,F,9,Roadrunners,09:51.50,
2000,F,10,Teter/Read,09:56.31,
2000,F,11,Zeta Tau Alpha,10:18.00,
2000,F,12,Team Athena,11:01.80,
1999,M,1,Cutters,,
1999,M,2,Phi Gamma Delta,,
1999,M,3,Sigma Alpha Epsilon,,
1999,F,1,Kappa Kappa Gamma,,
1999,F,2,Alpha Delta Pi,,
1999,F,3,Chi Omega,,
1998,M,1,Phi Gamma Delta,08:50.16,
1998,M,2,Sigma Alpha Epsilon,08:54.00,
1998,M,4,Cutters,,
1998,M,5,Phi Delta Theta,,
1998,M,3,Dodds House,,
1998,F,1,Alpha Chi Omega,08:21.40,08:05.38
1998,F,2,Kappa Kappa Gamma,08:15.10,08:07.85
1998,F,3,Delta Gamma,08:25.75,
1998,F,4,Chi Omega,08:27.38,
1998,F,5,Phi Mu,08:30.75,
1998,F,6,Roadrunners,08:35.13,
1998,F,7,Alpha Gamma Delta,08:35.97,
1998,F,8,Kappa Alpha Theta,08:37.78,
1998,F,9,Wright Cycledelics,08:38.04,
1998,F,10,Perigee,08:42.25,
1998,F,11,Alplha Delta Pi,08:46.47,
1998,F,12,Pi Beta Phi,08:46.90,
1998,F,13,Vayu,08:55.09,
1998,F,14,Delta Delta Delta,08:57.12,
1998,F,15,Alpha Phi,09:02.59,
1998,F,16,Delta Zeta,09:02.97,
1998,F,17,Alpha Phi Omega,09:07.60,
1998,F,18,Alpha Kappa Psi,09:09.47,
1998,F,19,Alpha Xi Delta,09:10.37,
1998,F,20,Zeta Tau Alpha,09:13.20,
1998,F,21,Team Elite,09:13.63,
1998,F,22,Landsharks,09:15.72,
1998,F,23,Oz,09:44.63,
1998,F,24,Foster 4ce,10:03.28,
1998,F,25,Teter,10:24.60,
1997,M,1,Phi Gamma Delta,08:52.80,08:56.04
1997,M,2,Sigma Alpha Epsilon,09:14.65,09:10.88
1997,M,3,Sigma Chi,09:17.35,
1997,M,4,Dodds House,09:20.85,
1997,M,5,Wright Cycling,09:32.56,
1997,M,6,Theta Chi,09:34.62,
1997,M,7,Phi Delta Theta,09:34.97,
1997,M,8,Sigma Nu,09:38.06,
1997,M,9,Delta Upsilon,09:42.43,
1997,M,10,Sigma Phi Espilon,09:42.94,
1997,M,11,Cinzano,09:45.78,
1997,M,12,Lambda Chi Alpha,09:46.44,
1997,M,13,Delta Chi,09:46.63,
1997,M,14,Phi Kappa Psi,09:51.19,
1997,M,15,Beta Theta Pi,09:52.35,
1997,M,16,Chi Phi,10:12.81,
1997,M,17,Delta Tau Delta,10:15.22,
1997,M,18,Kappa Sigma,10:19.94,
1997,M,19,Alpha Tau Omega,10:22.44,
1997,M,20,Alpha Sigma Phi,10:30.00,
1997,M,21,Phi Kappa Alpha,10:37.03,
1997,M,22,Cottage Grove,10:40.56,
1997,M,23,Pneuma,10:41.28,
1997,M,24,Army,10:45.60,
1997,M,25,Sigma Pi,11:01.69,
1997,F,1,Roadrunners,08:16.57,08:22.59
1997,F,2,Delta Gamma **,08:18.07,
1997,F,3,Kappa Alpha Theta,08:22.07,
1997,F,4,Kappa Kappa Gamma,08:24.59,
1997,F,5,Landsharks,08:25.34,
1997,F,6,Alpha Gamma Delta,08:31.69,
1997,F,7,Alpha Chi Omega,08:36.96,
1997,F,8,Phi Mu,08:41.72,
1997,F,9,Chi Omega,08:47.78,
1997,F,10,Wright Cycledelics,08:54.63,
1997,F,11,Delta Zeta,08:55.69,
1997,F,12,Alpha Phi,08:56.16,
1997,F,13,Team Z,09:00.06,
1997,F,14,Gamma Phi Beta,09:02.13,
1997,F,15,Alpha Xi Delta,09:02.53,
1997,F,16,Alpha Kappa Psi,09:09.78,
1997,F,17,Delta Delta Delta,09:11.50,
1997,F,18,Foster 4ce,09:15.65,
1997,F,19,Zeta Tau Alpha,09:21.13,
1997,F,20,Briscoe Banshees,09:26.06,
1997,F,21,Alpha Phi Omega,09:44.25,
1997,F,22,Alpha Epsilon Phi,10:02.44,
1996,M,1,Phi Delta Theta,,
1996,M,2,Sigma Alpha Epsilon,,
1996,F,1,Kappa Kappa Gamma,,
1996,F,2,Alpha Gamma Delta,,
1995,M,1,Acacia,09:22.520,09:17.69
1995,M,2,Dodds,09:28.46,09:19.66
1995,M,3,Phi Delta Theta,09:30.77,
1995,M,4,Phi Kappa Psi,09:33.00,
1995,M,5,PhiGamma Delta,09:33.88,
1995,M,6,Lambda ChiAlpha,09:39.06,
1995,M,7,Sigma Phi Epsilon,09:40.35,
1995,M,8,Delta Upsilon,09:42.03,
1995,M,9,Signa Alpha Epsilon,09:44.00,
1995,M,10,SlgnaNu,09:44.84,
1995,M,11,Wright Cycling,09:58.90,
1995,M,12,Delta Tau Delta,10:00.04,
1995,M,13,Beta Theta Pi,10:06.27,
1995,M,14,T.C.A.T.,10:26.37,
1995,F,1,Gamma Phi Beta,08:22.59,08:15.54
1995,F,2,Kappa Alpha Theta,08:22.03,08:24.20
1995,F,3,Delta Zeta,08:33.99,
1995,F,4,Wright Cycledelics,08:48.81,
1995,F,5,Pi Beta Phi,08:49.74,
1995,F,6,Alpha Chi Omega,08:58.95,
1995,F,7,Tasmanian Devils,09:18.36,
1994,M,1,Delta Chi,09:34.000,09:29.80
1994,M,2,Phi Kappa Psi,09:36.40,09:34.82
1994,M,3,Cutters,09:42.25,
1994,M,4,Sigma Chi,09:44.16,
1994,M,5,Sigma Alpha Epsilon,09:59.48,
1994,M,6,Wright Dodds,10:01.75,
1994,M,7,Delta Upsilon,10:06.56,
1994,M,8,Phi DeltaTheta,10:31.43,
1994,M,9,Sigma Phi Epsilon,10:25.98,
1994,M,10,Alpha Epsilon Pi,10:30.12,
1994,M,11,Pi Kappa Alpha,10:34.91,
1994,M,12,Lambda Chi Alpha,10:35.11,
1994,M,13,Wright Cycling,10:39.19,
1994,M,14,Sigma Nu,10:40.22,
1994,M,15,Read Zoo Gods,10:56.13,
1994,M,16,McNutt Racing Team,11:00.13,
1994,M,17,Kappa Sigma,11:22.84,
1994,M,18,Alpha Sigma Phi,11:43.61,
1994,F,1,Alpha Gamma Delta,08:52.31,08:35.39
1994,F,2,Alpha Chi Omega,08:56.56,08:51.63
1994,F,3,Kappa Alpha Theta ***,08:49.11,
1994,F,4,Gamma Phi Beta,09:08.39,
1994,F,5,Kappa Kappa Gamma,09:16.84,
1994,F,6,Landsharks,09:17.00,
1994,F,7,Zeta Tau Alpha,09:20.77,
1994,F,8,Delta Delta Delta,09:25.39,
1994,F,9,Delta Zeta,09:37.86,
1994,F,10,Wright Cycledelics,09:38.68,
1994,F,11,Alpha Phi,09:39.88,
1994,F,12,Phi Mu,09:58.93,
1986,M,1,Cutters,08:38.81,
0,,0,,,
0,,0,,,
0,,0,,,
0,,0,,,
0,,0,,,
