2023,1,CUTTERS
2023,2,Sigma Phi Epsilon
2023,3,Delta Tau Delta
2023,4,Black Key Bulls 1
2023,5,Alpha Sigma Phi
2023,6,Chi Alpha
2023,7,Sigma Alpha Epsilon
2023,8,Phi Gamma Delta 2
2023,9,Ghost Cycling
2023,10,Phi Kappa Psi
2023,11,Phi Delta Theta
2023,12,Beta Sigma Psi
2023,13,Gray Goat
2023,14,3PH Cycling
2023,15,Cinzano
2023,16,Alpha Kappa Psi
2023,17,IUDM
2023,18,Forest Cycling 1
2023,19,CSF Cycling (M)
2023,20,Bears
2023,21,Human Wheels
2023,22,Phi Kappa Alpha
2023,23,Sigma Nu
2023,24,Beta Theta Pi
2023,25,Delta Sigma Pi
2023,26,Phi Kappa Psi 2
2023,27,Team Seabiscuit
2023,28,Novus Cycling (M)
2023,29,Phi Gamma Nu (M)
2023,30,3PH Cycling 2
2023,31,XSF
2023,32,Tau Epsilon Phi
2023,33,Alpha Kappa Lambda
2023,34,Delta Tau Delta B
2023,35,Wild Aces
2023,36,Forest Cycling 2
2023,37,Godspeed
2023,38,Team Secretariat
2023,39,Phi Gamma Delta
2022,1,Phi Kappa Psi
2022,2,Phi Delta Theta
2022,3,Black Key Bulls
2022,4,Sigma Phi Epsilon
2022,5,Gray Goat
2022,6,JETBLACH
2022,7,Phi Gamma Delta
2022,8,Black Key Bulls 2
2022,9,Bears
2022,10,Ghost Cycling
2022,11,Forest Cycling
2022,12,Alpha Sigma Phi
2022,13,IUDM Cycling
2022,14,CSF Cycling
2022,15,3PH Cycling
2022,16,Gray Goat 2
2022,17,Beta Theta Pi
2022,18,Beta Sigma Psi
2022,19,Delta Sigma Pi
2022,20,Novus Cycling
2022,21,Delta Upsilon
2022,22,Sigma Chi
2022,23,Forest Cycling 2
2022,24,Delta Sigkey Bull
2022,25,3PH Cycling 2
2022,26,Sigma Phi Kappa Theta
2022,27,NEH Cycling
2022,28,Lambda Chi Alpha
2022,29,Wild Aces Cycling
2022,30,Phi Gamma Nu
2022,31,Sigma Nu
2022,32,McNutt
2021,1,JETBLACH
2021,2,Cutters
2021,3,Sigma Phi Epsilon 1
2021,5,Phi Kappa Psi
2021,6,Gray Goat 1
2021,7,Bears 1
2021,8,Acacia
2021,9,CSF Cycling
2021,10,Phi Gamma Delta
2021,11,Phi Delta Theta
2021,12,Beta Sigma Psi
2021,13,Forest Cycling
2021,14,Pi Lambda Phi
2021,15,3PH Cycling
2021,17,Gray Goat 2
2021,18,Theta Chi
2021,19,Delta Sigma Pi
2021,20,Bears 2
2021,21,Delta Upsilon
2021,22,Phi Kappa Sigma
2021,23,Novus Cycling
2021,24,Army Cycling
2021,25,Beta Theta Pi
2021,26,3jetblaPH
2021,27,NEH Cycling
2021,28,Sigma Nu
2019,1,Gray Goat
2019,2,Black Key Bulls
2019,3,Phi Kappa Psi
2019,4,Jetblach
2019,5,Bears
2019,6,NEH Cycling
2019,7,Cutters
2019,8,Sigma Alpha Epsilon
2019,9,Phi Delta Theta
2019,10,Gafombi
2019,11,3PH Cycling
2019,12,Phi Gamma Delta
2019,13,CSF Cycling
2019,14,Pi Lambda Phi
2019,15,Pi Kappa Alpha
2019,16,Delta Upsilon
2019,17,Beta Sigma Psi
2019,18,Sigma Chi
2019,19,Delta Sigma Pi
2019,20,Godspeed
2019,21,Acacia
2019,22,3PH Cycling
2019,23,Evans Scholars
2019,24,Black Ice Cycling
2018,1,Sigma Phi Epsilon
2018,2,Black Key Bulls 1
2018,3,Sigma Alpha Epsilon
2018,4,Bears
2018,5,Beta Theta Pi
2018,6,3PH
2018,7,JETBLACH 1
2018,8,Gray Goat 1
2018,9,Sigma Chi
2018,10,Phi Gamma Delta
2018,11,Forest Cycling
2018,12,Gray Goat 2
2018,13,Phi Kappa Psi
2018,14,Phi Delta Theta
2018,15,Delta Upsilon
2018,16,Delta Chi
2018,17,CSF Cycling
2018,18,Black Key Bulls 2
2018,19,Pi Kappa Alpha
2018,20,Chi Alpha
2018,21,Pi Lambda Phi
2018,22,Acacia
2018,23,Beta Sigma Psi
2018,24,Phi Sigma Kappa
2018,25,Young Pioneer
2018,26,Theta Chi
2017,1,Black Key Bulls
2017,2,CSF Cycling
2017,3,Gray Goat
2017,4,Beta Theta Pi
2017,5,Sigma Phi Epsilon
2017,6,Pi Kappa Alpha
2017,7,3PH
2017,8,CUTTERS
2017,9,Bears
2017,10,Sigma Phi Epsilon 2
2017,11,Forest Cycling
2017,12,Sigma Chi
2017,13,Phi Gamma Delta
2017,14,Lambda Chi Alpha
2017,15,Acacia
2017,16,Black Key Bulls 2
2017,17,Kappa Sigma
2017,18,Pi Lambda Phi
2017,19,Phi Delta Theta
2017,20,Gray Goat 2
2017,21,Phi Sigma Kappa
2017,22,JETBLACH
2017,23,Alpha Sigma Phi
2017,24,Sigma Alpha Epsilon
2017,25,Black Ice Cycling
2017,26,Sigma Phi Epsilon 3
2017,27,Beta Sigma Psi
2017,28,Delta Chi
2017,29,Sigma Nu
2017,30,Theta Chi
2017,31,Acacia 2
2017,32,Alpha Epsilon Pi
2017,33,Young Pioneers
2017,34,3PH Cycling 2
2017,35,Young Life
2016,1,Black Key Bulls
2016,2,Sigma Alpha Epsilon *
2016,3,Cutters
2016,4,Wright Cycling
2016,5,Gray Goat
2016,6,Black Key Bulls 2
2016,7,Sigma Phi Epsilon
2016,8,Phi Delta Theta
2016,9,CSF Cycling
2016,10,Forest Cycling
2016,11,Delta Chi
2016,12,3PH Cycling
2016,13,Sigma Nu
2016,14,Lambda Chi Alpha
2016,15,Delta Tau Delta
2016,16,Phi Gamma Delta
2016,17,Sigma Chi
2016,18,Pi Lambda Phi
2016,19,Alpha Sigma Phi
2016,20,Phi Kappa Sigma
2016,21,Young Pioneer
2016,22,Alpha Epsilon Pi
2016,23,Beta Sigma Psi
2016,24,Pi Kappa Alpha
2016,25,Collins Bucanneers
2016,26,Acacia
2016,27,Tau Kappa Epsilon
2016,28,Phi Delta Theta 2
2016,29,Pi Kappa Phi
2015,1,Black Key Bulls
2015,2,Delta Tau Delta
